X,Y
0.5,0.5
0.7,0.5
0.9,0.5
1.1,0.5
1.3,0.5
1.5,0.5
1.7,0.5
1.9,0.5
2.1,0.5
2.3,0.5
2.5,0.5
2.5,0.7
2.5,0.9
2.5,1.1
2.5,1.3
2.5,1.5
2.5,1.7
2.5,1.9
2.5,2.1
2.5,2.3
2.5,2.5
2.7,2.5
2.9,2.5
3.1,2.5
3.3,2.5
3.5,2.5
3.7,2.5
3.9,2.5
4.1,2.5
4.3,2.5
4.5,2.5
4.5,2.7
4.5,2.9
4.5,3.1
4.5,3.3
4.5,3.5
4.5,3.7
4.5,3.9
4.5,4.1
4.5,4.3
4.5,4.5
4.3,4.5
4.1,4.5
3.9,4.5
3.7,4.5
3.5,4.5
3.3,4.5
3.1,4.5
2.9,4.5
2.7,4.5
2.5,4.5
2.3,4.5
2.1,4.5
1.9,4.5
1.7,4.5
1.5,4.5
1.3,4.5
1.1,4.5
0.9,4.5
0.7,4.5
0.5,4.5
0.5,4.3
0.5,4.1
0.5,3.9
0.5,3.7
0.5,3.5
0.5,3.3
0.5,3.1
0.5,2.9
0.5,2.7
0.5,2.5
0.5,2.3
0.5,2.1
0.5,1.9
0.5,1.7
0.5,1.5
0.5,1.3
0.5,1.1
0.5,0.9
0.5,0.7
